,GW-2019LS,group
ER370,3.247,training
ER173,2.829,training
ER150,3.441,training
ER379,2.764,training
ER165,3.249,training
ER323,3.116,training
ER342,3.327,training
ER427,3.291,training
ER082,3.31,training
ER221,2.465,training
ER157,3.42,training
ER075,2.773,training
ER035,3.31,training
ER247,3.151,training
ER139,3.255,training
ER091,3.025,training
ER110,3.092,training
ER413,2.737,training
ER381,3.049,training
ER134,3.149,training
ER116,3.079,training
ER307,3.194,training
ER211,3.059,training
ER033,3.293,training
ER103,3.016,training
ER324,3.109,training
ER224,3.056,training
ER414,3.387,training
ER296,3.038,training
ER048,2.961,training
ER399,3.02,training
ER030,3.415,training
ER146,3.024,training
ER412,3.048,training
ER299,2.49,training
ER088,2.899,training
ER007,3.272,training
ER259,2.971,training
ER302,3.2,training
ER065,3.352,training
ER158,3.304,training
ER218,3.133,training
ER230,2.463,training
ER132,3.253,training
ER208,2.691,training
ER309,3.283,training
ER089,3.111,training
ER172,3.111,training
ER262,2.372,training
ER018,3.272,training
ER301,2.966,training
ER433,3.136,training
ER144,3.102,training
ER343,2.81,training
ER394,3.08,training
ER312,2.584,training
ER001,3.217,training
ER109,3.079,training
ER071,3.333,training
ER066,3.15,training
ER064,3.264,training
ER149,3.18,training
ER287,3.021,training
ER275,3.093,training
ER086,3.338,training
ER415,3.229,training
ER369,3.049,training
ER055,3.347,training
ER424,3.298,training
ER372,3.397,training
ER228,3.026,training
ER244,2.762,training
ER420,3.574,training
ER140,3.051,training
ER335,2.794,training
ER385,3.152,training
ER213,2.425,training
ER153,3.264,training
ER245,2.995,training
ER020,3.079,training
ER080,3.335,training
ER248,3.162,training
ER384,2.613,training
ER333,2.946,training
ER227,2.73,training
ER235,2.958,training
ER383,2.405,training
ER008,3.529,training
ER025,3.224,training
ER188,2.75,training
ER359,3.248,training
ER439,3.144,training
ER280,2.575,training
ER405,3.101,training
ER183,2.842,training
ER255,2.759,training
ER024,3.173,training
ER063,2.992,training
ER177,3.038,training
ER368,2.978,training
ER117,2.941,training
ER402,3.088,training
ER266,2.671,training
ER344,2.91,training
ER338,2.182,training
ER147,3.095,training
ER425,3.111,training
ER114,2.859,training
ER106,3.203,training
ER430,3.395,training
ER022,3.088,training
ER292,2.694,training
ER124,3.247,training
ER133,3.127,training
ER360,3.24,training
ER332,3.325,training
ER097,3.331,training
ER409,2.91,training
ER005,3.141,training
ER199,2.935,training
ER027,2.669,training
ER279,2.967,training
ER127,3.118,training
ER311,2.869,training
ER170,2.904,training
ER207,3.163,training
ER319,2.775,training
ER043,2.936,training
ER400,2.884,training
ER269,2.567,training
ER174,2.515,training
ER274,3.161,training
ER328,3.184,training
ER276,2.69,training
ER355,2.97,training
ER216,2.95,training
ER271,3.171,training
ER054,3.038,training
ER101,3.453,training
ER176,2.62,training
ER375,3.27,training
ER073,3.392,training
ER032,3.534,training
ER167,3.244,training
ER238,3.05,training
ER016,3.049,training
ER268,2.752,training
ER367,3.386,training
ER306,2.382,training
ER095,2.946,training
ER131,3.247,training
ER329,3.13,training
ER282,2.216,training
ER352,2.894,training
ER049,3.153,training
ER322,2.478,training
ER254,2.984,training
ER215,2.03,training
ER240,3.269,training
ER178,2.99,training
ER298,3.144,training
ER019,3.227,training
ER108,3.135,training
ER128,3.078,training
ER357,3.027,training
ER130,2.956,training
ER257,3.168,training
ER122,3.117,training
ER386,3.281,training
ER028,3.317,training
ER395,3.301,training
ER320,2.702,training
ER358,2.806,training
ER416,3.107,training
ER125,2.838,training
ER123,2.962,training
ER197,2.512,training
ER393,3.146,training
ER137,3.183,training
ER341,3.146,training
ER076,2.636,training
ER337,2.92,training
ER297,2.993,training
ER243,2.903,training
ER388,3.407,training
ER161,2.886,training
ER366,3.132,training
ER026,3.238,training
ER265,2.928,training
ER261,3.175,training
ER250,2.303,training
ER152,3.263,training
ER398,3.376,training
ER411,2.785,training
ER143,3.159,training
ER288,2.959,training
ER286,2.493,training
ER231,2.191,training
ER145,3.171,training
ER434,3.365,training
ER068,3.358,training
ER326,3.141,training
ER135,3.247,training
ER017,3.533,training
ER251,3.166,training
ER196,2.396,training
ER418,3.583,training
ER294,2.475,training
ER195,2.49,training
ER281,2.608,training
ER009,2.938,training
ER021,3.102,training
ER193,3.294,training
ER202,2.512,training
ER284,2.926,training
ER079,3.035,training
ER234,3.052,training
ER226,3.163,training
ER162,3.405,training
ER184,2.818,training
ER310,3.155,training
ER111,3.095,training
ER272,3.092,training
ER256,2.91,training
ER347,3.267,training
ER192,2.726,training
ER327,3.191,training
ER214,3.162,training
ER015,3.463,training
ER175,2.883,training
ER053,3.122,training
ER115,3.301,training
ER126,3.157,training
ER293,2.469,training
ER364,3.157,training
ER179,2.895,training
ER182,2.995,training
ER094,3.491,training
ER105,3.149,training
ER100,3.009,training
ER246,2.458,training
ER423,3.309,training
ER340,3.159,training
ER239,3.173,training
ER354,2.556,training
ER189,2.449,training
ER435,3.081,training
ER023,3.246,training
ER419,3.219,training
ER112,3.361,training
ER036,3.29,training
ER061,3.304,training
ER159,3.092,training
ER303,3.038,training
ER390,2.982,training
ER219,2.595,training
ER037,3.538,training
ER056,3.121,training
ER209,3.065,training
ER378,3.297,training
ER148,3.273,training
ER350,2.892,training
ER151,3.407,training
ER190,3.161,training
ER267,2.741,training
ER201,2.493,training
ER012,2.978,training
ER155,3.287,training
ER408,2.917,training
ER440,2.945,training
ER074,3.357,training
ER171,3.062,training
ER191,3.048,training
ER013,3.401,training
ER099,3.251,training
ER325,3.025,training
ER339,3.308,training
ER129,3.099,training
ER273,2.715,training
ER186,2.215,training
ER428,3.312,training
ER260,2.486,training
ER330,2.548,training
ER283,3.158,training
ER166,3.285,training
ER194,2.487,training
ER090,3.432,training
ER356,2.724,training
ER180,3.155,training
ER407,2.896,training
ER187,2.648,training
ER236,2.689,training
ER044,3.037,training
ER258,3.159,training
ER431,3.138,training
ER438,2.937,training
ER085,3.002,training
ER034,3.014,training
ER404,3.122,training
ER349,3.19,training
ER241,3.232,training
ER361,3.395,training
ER278,3.09,training
ER437,2.566,training
ER432,3.179,training
ER380,3.371,training
ER249,2.779,training
ER046,2.872,training
ER321,3.221,training
ER156,3.443,training
ER181,2.957,training
ER045,3.006,training
ER083,2.791,training
ER203,2.493,training
ER006,3.484,training
ER092,3.346,training
ER362,2.845,training
ER031,3.264,training
ER253,2.855,training
ER371,3.1,training
ER225,2.84,training
ER051,3.445,training
ER042,3.332,training
ER212,2.158,training
ER232,2.937,training
ER397,3.381,training
ER406,2.804,training
ER160,3.025,training
ER062,3.117,training
ER198,2.492,training
ER396,3.195,training
ER118,3.165,training
ER052,3.251,training
ER154,3.257,training
ER314,3.319,training
ER057,3.116,training
ER295,2.446,training
ER029,3.22,training
ER136,3.035,training
ER081,3.148,training
ER038,3.441,training
ER120,3.049,training
ER308,3.283,training
ER382,2.511,training
ER389,2.79,training
ER039,3.382,training
ER040,3.107,training
ER392,3.016,training
ER316,3.313,training
ER121,3.169,training
ER138,3.214,training
ER285,3.161,training
ER200,2.814,training
ER252,2.37,training
ER270,3.219,training
ER422,3.128,training
ER436,2.414,training
ER348,2.673,training
ER391,3.308,training
ER141,2.873,training
ER363,2.969,training
ER401,2.888,training
ER346,3.144,training
ER113,3.053,training
ER098,3.176,training
ER070,3.181,training
ER300,2.481,training
ER305,2.829,training
ER104,3.275,training
ER041,2.997,training
ER220,3.15,training
ER237,2.331,validation
ER087,3.289,validation
ER206,2.419,validation
ER210,2.956,validation
ER164,3.158,validation
ER353,2.753,validation
ER373,2.83,validation
ER102,2.909,validation
ER010,3.064,validation
ER429,3.35,validation
ER351,2.983,validation
ER077,3.45,validation
ER229,2.795,validation
ER050,3.191,validation
ER014,3.222,validation
ER331,3.317,validation
ER421,3.009,validation
ER096,3.054,validation
ER067,3.373,validation
ER336,2.986,validation
ER277,3.1,validation
ER334,3.236,validation
ER374,2.685,validation
ER011,3.315,validation
ER078,3.207,validation
ER222,3.109,validation
ER377,3.005,validation
ER204,2.535,validation
ER084,3.357,validation
ER093,2.981,validation
ER313,2.962,validation
ER169,3.186,validation
ER004,3.297,validation
ER217,2.707,validation
ER242,3.053,validation
ER376,3.177,validation
ER264,2.759,validation
ER289,3.064,validation
ER263,3.669,validation
ER233,2.981,validation
ER291,3.105,validation
ER223,3.037,validation
