,TKW-2019LS,group
ER001,22.132,training
ER399,24.859,training
ER052,23.453,training
ER183,24.072,training
ER151,25.857,training
ER073,25.386,training
ER037,27.5,training
ER081,25.208,training
ER154,25.024,training
ER253,33.914,training
ER027,21.772,training
ER332,26.706,training
ER440,24.719,training
ER199,24.208,training
ER137,23.286,training
ER275,23.976,training
ER191,24.118,training
ER102,22.971,training
ER211,25.108,training
ER279,23.214,training
ER401,27.087,training
ER206,20.982,training
ER077,24.197,training
ER241,32.286,training
ER203,23.082,training
ER283,26.628,training
ER067,25.311,training
ER019,25.348,training
ER439,27.165,training
ER335,35.348,training
ER112,25.269,training
ER042,25.042,training
ER202,26.377,training
ER368,32.0,training
ER364,29.023,training
ER369,24.761,training
ER348,32.571,training
ER288,24.746,training
ER171,23.58,training
ER328,26.959,training
ER115,26.102,training
ER413,21.867,training
ER347,27.983,training
ER008,28.954,training
ER020,23.733,training
ER043,24.604,training
ER392,23.237,training
ER016,24.684,training
ER024,25.085,training
ER111,24.92,training
ER155,26.571,training
ER215,15.107,training
ER419,23.207,training
ER374,25.823,training
ER314,31.0,training
ER393,27.745,training
ER282,17.343,training
ER026,23.102,training
ER220,28.5,training
ER287,28.235,training
ER363,24.671,training
ER062,23.836,training
ER123,26.205,training
ER249,30.012,training
ER076,22.065,training
ER195,25.042,training
ER320,27.033,training
ER153,25.746,training
ER270,33.18,training
ER138,26.329,training
ER277,25.524,training
ER229,24.2,training
ER193,27.494,training
ER383,18.851,training
ER217,28.054,training
ER063,24.732,training
ER087,20.274,training
ER097,23.825,training
ER334,25.789,training
ER140,24.078,training
ER308,24.403,training
ER144,24.176,training
ER266,35.319,training
ER366,27.459,training
ER070,22.914,training
ER225,32.465,training
ER430,27.211,training
ER420,28.48,training
ER018,22.807,training
ER056,25.297,training
ER245,33.721,training
ER004,27.726,training
ER338,14.222,training
ER160,26.808,training
ER372,28.671,training
ER298,28.369,training
ER291,33.929,training
ER255,22.239,training
ER192,29.438,training
ER423,26.278,training
ER429,23.159,training
ER150,27.333,training
ER009,22.643,training
ER274,27.626,training
ER262,27.376,training
ER398,26.848,training
ER023,23.138,training
ER124,25.798,training
ER216,26.888,training
ER322,21.037,training
ER306,19.16,training
ER299,26.538,training
ER415,26.635,training
ER178,24.105,training
ER355,21.634,training
ER098,25.313,training
ER096,25.295,training
ER358,24.7,training
ER388,27.902,training
ER329,32.304,training
ER251,28.764,training
ER353,21.768,training
ER435,25.391,training
ER014,25.213,training
ER391,26.595,training
ER380,29.622,training
ER189,28.541,training
ER039,26.571,training
ER013,27.02,training
ER231,21.734,training
ER121,23.913,training
ER227,26.109,training
ER243,21.896,training
ER141,25.93,training
ER200,25.75,training
ER090,26.074,training
ER259,24.319,training
ER055,26.75,training
ER411,19.72,training
ER029,24.64,training
ER236,21.013,training
ER106,25.415,training
ER307,25.981,training
ER330,18.561,training
ER247,25.477,training
ER036,25.101,training
ER196,23.189,training
ER303,24.991,training
ER209,25.463,training
ER438,26.833,training
ER221,23.159,training
ER337,23.875,training
ER022,25.848,training
ER068,28.25,training
ER007,24.222,training
ER094,27.462,training
ER146,22.867,training
ER289,30.6,training
ER375,35.4,training
ER294,25.136,training
ER143,24.513,training
ER175,24.807,training
ER046,23.463,training
ER207,28.375,training
ER198,28.153,training
ER272,24.409,training
ER104,27.048,training
ER166,25.184,training
ER110,22.525,training
ER281,24.837,training
ER136,24.175,training
ER378,29.317,training
ER244,21.618,training
ER238,28.195,training
ER265,29.175,training
ER381,23.181,training
ER173,32.113,training
ER006,24.981,training
ER268,25.17,training
ER128,23.981,training
ER045,24.809,training
ER053,26.104,training
ER050,24.443,training
ER433,23.988,training
ER040,23.145,training
ER208,20.011,training
ER240,28.526,training
ER434,26.5,training
ER032,28.87,training
ER132,27.803,training
ER254,29.092,training
ER011,25.859,training
ER212,19.122,training
ER385,23.78,training
ER233,33.088,training
ER219,31.378,training
ER359,26.705,training
ER033,25.52,training
ER118,24.627,training
ER147,21.567,training
ER357,28.702,training
ER286,25.187,training
ER377,26.682,training
ER201,18.578,training
ER409,25.686,training
ER048,21.246,training
ER071,24.617,training
ER273,20.896,training
ER015,28.679,training
ER407,24.75,training
ER319,22.95,training
ER148,26.242,training
ER292,27.359,training
ER164,21.296,training
ER248,27.358,training
ER103,22.679,training
ER351,23.587,training
ER172,33.464,training
ER386,23.893,training
ER405,26.227,training
ER093,26.911,training
ER005,28.716,training
ER313,26.918,training
ER356,24.742,training
ER218,30.097,training
ER246,24.744,training
ER324,26.052,training
ER109,24.117,training
ER257,24.714,training
ER280,25.88,training
ER261,34.059,training
ER305,26.86,training
ER352,23.207,training
ER066,26.765,training
ER135,25.941,training
ER167,25.47,training
ER428,27.092,training
ER174,26.84,training
ER127,24.408,training
ER156,27.032,training
ER159,23.158,training
ER025,27.535,training
ER310,24.493,training
ER089,24.119,training
ER214,26.605,training
ER182,28.36,training
ER422,26.25,training
ER376,29.489,training
ER234,29.479,training
ER197,27.301,training
ER379,21.988,training
ER041,22.659,training
ER224,27.66,training
ER064,23.887,training
ER295,31.109,training
ER362,25.868,training
ER267,26.105,training
ER371,24.083,training
ER130,22.096,training
ER101,24.253,training
ER370,26.6,training
ER028,25.818,training
ER021,23.782,training
ER389,34.51,training
ER235,22.832,training
ER134,25.574,training
ER343,24.143,training
ER421,25.25,training
ER284,22.15,training
ER396,25.903,training
ER083,23.505,training
ER416,25.528,training
ER432,23.153,training
ER349,27.077,training
ER078,25.889,training
ER354,30.513,training
ER408,24.919,training
ER418,25.971,training
ER382,17.77,training
ER264,29.985,training
ER080,26.61,training
ER184,17.404,training
ER152,26.413,training
ER269,26.71,training
ER431,23.539,training
ER223,34.838,training
ER108,25.371,training
ER425,24.116,training
ER162,27.707,training
ER117,22.489,training
ER085,22.583,training
ER395,27.759,training
ER336,25.505,training
ER086,26.32,training
ER188,29.629,training
ER394,26.869,training
ER091,22.1,training
ER158,25.69,training
ER165,27.989,training
ER325,27.416,training
ER300,25.663,training
ER424,27.575,training
ER302,27.333,training
ER049,23.463,training
ER256,25.36,training
ER187,25.935,training
ER342,25.705,training
ER161,12.1,training
ER260,27.333,training
ER079,20.58,training
ER346,29.383,training
ER340,27.105,training
ER176,27.797,training
ER082,26.652,training
ER237,18.4,training
ER301,25.829,training
ER092,24.81,training
ER113,24.529,training
ER095,19.885,training
ER030,26.6,training
ER276,21.769,training
ER232,24.346,training
ER350,23.0,training
ER088,23.874,training
ER271,32.098,training
ER296,27.308,training
ER035,27.989,training
ER133,22.86,training
ER360,28.932,training
ER213,25.802,training
ER406,25.129,training
ER074,26.394,training
ER258,26.544,training
ER131,25.442,training
ER186,17.574,training
ER181,25.274,training
ER157,25.803,training
ER122,27.216,training
ER126,23.333,training
ER145,26.426,training
ER312,21.919,training
ER105,26.534,training
ER125,25.591,training
ER333,25.419,training
ER065,27.973,training
ER169,27.145,training
ER230,21.28,training
ER051,27.217,training
ER250,18.512,training
ER034,22.821,training
ER100,25.583,training
ER390,26.014,training
ER116,23.266,training
ER373,22.548,training
ER402,27.344,training
ER427,28.289,training
ER437,26.109,training
ER204,26.73,training
ER436,24.457,training
ER057,23.869,training
ER012,22.404,training
ER149,22.488,training
ER194,24.737,training
ER054,24.143,training
ER331,25.234,training
ER038,23.643,training
ER311,26.182,training
ER017,25.303,training
ER397,27.367,training
ER228,26.825,training
ER252,18.583,validation
ER412,20.764,validation
ER170,20.859,validation
ER210,21.226,validation
ER384,22.299,validation
ER400,22.676,validation
ER114,22.758,validation
ER044,22.779,validation
ER010,23.075,validation
ER075,23.19,validation
ER297,23.405,validation
ER120,23.5,validation
ER031,23.674,validation
ER326,24.16,validation
ER361,24.169,validation
ER285,24.37,validation
ER179,24.806,validation
ER099,25.042,validation
ER327,25.23,validation
ER129,25.235,validation
ER061,25.322,validation
ER404,25.359,validation
ER339,25.875,validation
ER341,26.012,validation
ER222,26.03,validation
ER278,26.203,validation
ER139,26.311,validation
ER414,26.485,validation
ER293,26.558,validation
ER309,26.68,validation
ER190,26.742,validation
ER321,26.888,validation
ER084,26.905,validation
ER323,26.942,validation
ER177,27.256,validation
ER226,27.88,validation
ER367,28.038,validation
ER242,28.514,validation
ER344,28.544,validation
ER316,28.821,validation
ER263,31.36,validation
ER180,31.922,validation
